Event,Country,First RunYYYY MM DD,Next AnniversaryYYYY MM DD,Anniversary Number
Kroonstad parkrun,South Africa,2017-04-22,2025-04-26,8
Kununurra parkrun,Australia,2018-04-28,2025-04-26,7
Lake Claremont parkrun,Australia,2022-04-23,2025-04-26,3
Leamington parkrun,United Kingdom,2011-04-23,2025-04-26,14
Leeton Sport and Recreation Precinct parkrun,Australia,2021-04-24,2025-04-26,4
Lillydale Lake parkrun,Australia,2014-04-26,2025-04-26,11
Listowel parkrun,Ireland,2017-04-22,2025-04-26,8
Lonehill parkrun,South Africa,2014-04-26,2025-04-26,11
Macclesfield parkrun,United Kingdom,2018-04-28,2025-04-26,7
Margate parkrun,United Kingdom,2013-04-27,2025-04-26,12
Markeaton parkrun,United Kingdom,2013-04-27,2025-04-26,12
Market Harborough parkrun,United Kingdom,2015-04-25,2025-04-26,10
Merthyr parkrun,United Kingdom,2017-04-22,2025-04-26,8
Middleton Woods parkrun,United Kingdom,2018-04-28,2025-04-26,7
Mobilong parkrun,Australia,2019-04-27,2025-04-26,6
Moreletapark Gemeente parkrun,South Africa,2023-04-29,2025-04-26,2
Mount Ainslie parkrun,Australia,2018-04-28,2025-04-26,7
Mullingar parkrun,Ireland,2016-04-23,2025-04-26,9
Newcastle West parkrun,Ireland,2016-04-23,2025-04-26,9
Ocean Grove parkrun,Australia,2018-04-28,2025-04-26,7
Ovens River Trail parkrun,Australia,2021-04-24,2025-04-26,4
parkrun Białystok,Poland,2016-04-30,2025-04-26,9
parkrun Lasek Miejski,Poland,2024-04-27,2025-04-26,1
Parkville parkrun,Australia,2016-04-30,2025-04-26,9
Picton parkrun,Australia,2018-04-28,2025-04-26,7
Portsmouth Lakeside parkrun,United Kingdom,2016-04-30,2025-04-26,9
Queanbeyan parkrun,Australia,2017-04-29,2025-04-26,8
Redcar parkrun,United Kingdom,2012-04-28,2025-04-26,13
Rockingham parkrun,Australia,2013-04-27,2025-04-26,12
Roodepoort parkrun,South Africa,2012-04-28,2025-04-26,13
Roundhay parkrun,United Kingdom,2011-04-23,2025-04-26,14
Royal Tunbridge Wells parkrun,United Kingdom,2014-04-26,2025-04-26,11
Shepton Mallet parkrun,United Kingdom,2017-04-29,2025-04-26,8
Snowden Field parkrun,United Kingdom,2019-04-27,2025-04-26,6
Stones Corner parkrun,Australia,2014-04-26,2025-04-26,11
Tallangatta Station parkrun,Australia,2023-04-29,2025-04-26,2
Tamagawa chuo koen parkrun,Japan,2021-04-24,2025-04-26,4
Tauranga parkrun,New Zealand,2018-04-28,2025-04-26,7
Vaal Marina parkrun,South Africa,2018-04-28,2025-04-26,7
Winchester parkrun,United Kingdom,2013-04-27,2025-04-26,12
Yackandandah Rail Trail parkrun,Australia,2023-04-22,2025-04-26,2
Yeldulknie Weir Trail parkrun,Australia,2019-04-27,2025-04-26,6
Abingdon parkrun,United Kingdom,2011-05-07,2025-05-03,14
Applecross parkrun,Australia,2017-05-06,2025-05-03,8
Ashbourne Recreation Ground parkrun,United Kingdom,2022-05-07,2025-05-03,3
Aviemore parkrun,United Kingdom,2017-05-06,2025-05-03,8
Balclutha parkrun,New Zealand,2018-05-05,2025-05-03,7
Barry Island parkrun,United Kingdom,2015-05-02,2025-05-03,10
Batemans Bay parkrun,Australia,2016-05-07,2025-05-03,9
Beach Strip parkrun,Canada,2017-05-06,2025-05-03,8
Belfast Victoria parkrun,United Kingdom,2011-05-07,2025-05-03,14
Big Bay parkrun,South Africa,2013-05-04,2025-05-03,12
Blaise Castle parkrun,United Kingdom,2023-05-06,2025-05-03,2
"Charleston parkrun, West Virginia",United States,2018-05-05,2025-05-03,7
Cleveland parkrun,Australia,2013-05-04,2025-05-03,12
"Eastern Trail parkrun, Biddeford",United States,2023-05-06,2025-05-03,2
Echuca Moama parkrun,Australia,2017-05-06,2025-05-03,8
Elliott Heads Beach parkrun,Australia,2022-05-07,2025-05-03,3
